Symbol,Name,Industry,Market Cap (Cr),Close Price (₹),Returns 1D (%),Returns 1W (%),Scan Matches Count,Matches
NSE:MAYURUNIQ,Mayur Uniquoters Ltd,Plastics - Plastic & Plastic Products,3243.95,746.55,-0.17,20.53,23,"Stage 2 candidate, Increasing ebitda margins, Technically Strong , Monthly check - ATH, Monthly check Industry RS, Early Stage 2, Relative Strength Index + volume, Debt Reducing, Driving Deleverage, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, 200EMa momentum 52weekhigh, Volume Rocketing, Monthly Trend Twist, Techno Funda, Driving Deleverage, Bulk Block Deals, Index Outperformance 3 Months, Industry Outperformance 3 Months, Post Earnings Announcement Drift (PEAD)"
NSE:RPTECH,Rashi Peripherals Ltd,Trading,3506.52,532.1,-2.8,-2.05,23,"Technically Strong , Tod fod Blockbuster results, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Driving Deleverage, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, GARP, SIMPLE VALUATION ALL WEATHER, 200EMa momentum 52weekhigh, Modest result + technicals, Techno Funda, Driving Deleverage, Buoyant Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Strong Quarterly Growth"
NSE:ANGELONE,Angel One Ltd,Finance - Capital Markets - Brokers,31413.8,344.45,-0.58,5.02,23,"Stage 2 candidate, Increasing ebitda margins, Technically Strong , Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Smallcap Heroes, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Monthly Trend Twist, Breakout Horizon, Cyclone, Index Outperformance 3 Months, Industry Outperformance 3 Months, Margin Expansion"
NSE:SHILPAMED,Shilpa Medicare Ltd,Pharma - API & CRAMS,9873.95,504.85,-1.43,6.86,23,"Stage 2 candidate, Technically Strong , Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Relative Strength Index + volume, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Weak Index Strong stocks Microcap 250, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Volume Rocketing, Monthly Trend Twist, Techno Funda, Buoyant Growth, Index Outperformance 3 Months, Industry Outperformance 3 Months"
NSE:NRBBEARING,NRB Bearings Ltd,Bearings,3727.64,384.6,-0.4,7.82,23,"Stage 2 candidate, Technically Strong , Monthly check - ATH, Monthly check Industry RS, Relative Strength Index + volume, Debt Reducing, Golden Crossover Weekly, Taaza Taaza 52WH, Improving inventory days, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Long Term Breakout, Monthly Trend Twist, Breakout Horizon, Cyclone, Bulk Block Deals, Insider Trading Selling, Index Outperformance 3 Months, Industry Outperformance 3 Months"
NSE:SATIN,Satin Creditcare Network Ltd,Finance & Investments - Microfinance,2462.51,222.91,3.08,0.27,23,"Consistent Earning growth, Increasing ebitda margins, Technically Strong , Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, GARP SHANKAR NATH, GARP SHankar Nath youtube stock scans, Taaza Taaza 52WH, Early Stage 2 New, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Monthly Trend Twist, Turbo Surge, Techno Funda, Bulk Block Deals, Index Outperformance 3 Months, Industry Outperformance 3 Months, Margin Expansion"
NSE:AVALON,Avalon Technologies Ltd,Consumer Electronics - EMS,9756.54,1461.3,-3.3,7.71,23,"Stage 2 candidate, Increasing ebitda margins, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Relative Strength Index + volume, Taaza Taaza 52WH, Improving inventory days, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Alpha Leaders, Buoyant Growth, Explosive Growth, Smart Money Moves, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year"
BSE:NITTAGELA,Nitta Gelatin India Ltd,Chemicals - Organic,1516.22,1670.0,5.67,27.05,23,"Technically Strong , Tod fod Blockbuster results, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Relative Strength Index + volume, Debt Reducing, Taaza Taaza 52WH, Improving inventory days, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Buoyant Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Margin Expansion, Strong Quarterly Growth"
NSE:GVT&D,GE Vernova T&D India Ltd,Electrical Equipments/HVDC,124139.04,4848.3,1.54,10.56,22,"Tod fod Blockbuster results, Monthly check - ATH, PAT YOY>> Rev YOY, Early trend picker, Relative Strength Index + volume, Debt Reducing, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Turbo Surge, Alpha Leaders, Margin Mavericks, Buoyant Growth, Explosive Growth, Smart Money Moves, Index Outperformance 3 Months, Index Outperformance 1 Year, Margin Expansion"
NSE:DHANBANK,Dhanlaxmi Bank Ltd,Banks - Private,1306.45,33.1,-1.19,-0.24,22,"Stage 2 candidate, Technically Strong , Tod fod Blockbuster results, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Golden Crossover Weekly, Driving Deleverage, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Turbo Surge, Techno Funda, Driving Deleverage, Buoyant Growth, Explosive Growth, Index Outperformance 3 Months, Industry Outperformance 3 Months"
